code_commune_INSEE,nom_commune_complet,latitude,longitude,Population totale
10257,Morembert,48.5033982569,4.33076650572,29.0
10258,Morvilliers,48.3786765454,4.63547205459,284.0
10259,La Motte-Tilly,48.4758552545,3.44037577469,364.0
10260,Moussey,48.2189146741,4.09309786071,668.0
10261,Mussy-sur-Seine,47.9845203158,4.50679375168,1036.0
10262,Neuville-sur-Seine,48.0346867571,4.40826042704,403.0
10263,Neuville-sur-Vanne,48.2525559272,3.77471634627,452.0
10264,Noé-les-Mallets,48.0984070868,4.56182185285,116.0
10265,Les Noës-près-Troyes,48.3033387671,4.04203482801,3311.0
10266,Nogent-en-Othe,48.1307541602,3.79686914903,46.0
10267,Nogent-sur-Aube,48.4846626534,4.29910667758,303.0
10268,Nogent-sur-Seine,48.4962576328,3.49983013092,6062.0
10269,Nozay,48.5002763071,4.08266438587,157.0
10270,Onjon,48.3987860925,4.27579822531,271.0
10271,Origny-le-Sec,48.4630378717,3.77926165141,605.0
10272,Ormes,48.555534468,4.1130717526,182.0
10273,Ortillon,48.4923353048,4.23005258544,23.0
10274,Orvilliers-Saint-Julien,48.4387695312,3.82249131327,314.0
10275,Ossey-les-Trois-Maisons,48.4386027369,3.74395562708,603.0
10276,Paisy-Cosdon,48.2147753548,3.69896514252,341.0
10278,Pargues,48.0183119376,4.20486733483,140.0
10279,Pars-lès-Chavanges,48.5173117634,4.50334630462,48.0
10280,Pars-lès-Romilly,48.4812645725,3.72853000882,824.0
10281,Le Pavillon-Sainte-Julie,48.3665011556,3.9015348936,292.0
10282,Payns,48.3754453406,3.95779312203,1394.0
10283,Pel-et-Der,48.3952042908,4.41036179152,131.0
10284,Périgny-la-Rose,48.55364742,3.62433153025,153.0
10285,Perthes-lès-Brienne,48.4340121047,4.54181585962,69.0
10286,Petit-Mesnil,48.3405305907,4.62293165674,213.0
10287,Piney,48.3314574257,4.35909414684,1493.0
10288,Plaines-Saint-Lange,47.9974095194,4.47394656864,269.0
10289,Plancy-l'Abbaye,48.5851575322,3.98528853809,982.0
10290,Planty,48.2679798119,3.65050759721,235.0
10291,Plessis-Barbuise,48.5730831109,3.58602602539,187.0
10293,Poivres,48.6829849086,4.27703317765,161.0
10294,Poligny,48.1751501958,4.34626027201,63.0
10295,Polisot,48.0731308574,4.35467201881,330.0
10296,Polisy,48.0575849334,4.36193308689,184.0
10297,Pont-Sainte-Marie,48.3193392667,4.09949303348,5237.0
10298,Pont-sur-Seine,48.509386823,3.59718207099,1180.0
10299,Pouan-les-Vallées,48.5339280475,4.06177485223,530.0
10300,Pougy,48.4368741428,4.3487522917,291.0
10301,Pouy-sur-Vannes,48.2978458721,3.59984902807,180.0
10302,Praslin,48.0459143506,4.20718637657,87.0
10303,Précy-Notre-Dame,48.4023333581,4.43620676129,78.0
10304,Précy-Saint-Martin,48.4166599572,4.45638796255,185.0
10305,Prémierfait,48.5029794134,4.02255796125,88.0
10306,Proverville,48.2326139251,4.67236770859,242.0
10307,Prugny,48.2473913847,3.94199151664,375.0
10308,Prunay-Belleville,48.3664762511,3.7828232388,217.0
10309,Prusy,47.9739129756,4.05129486893,98.0
10310,Puits-et-Nuisement,48.215021538,4.51130773229,218.0
10312,Racines,48.0483905715,3.84645827817,173.0
10313,Radonvilliers,48.3337407635,4.47438100931,360.0
10314,Ramerupt,48.5223260562,4.30433768781,414.0
10315,Rances,48.4620840236,4.55442425435,47.0
10316,Rhèges,48.5320121391,3.99460836996,219.0
10317,Les Riceys,47.9874878792,4.36950096332,1230.0
10318,Rigny-la-Nonneuse,48.4140043943,3.64891002916,158.0
10319,Rigny-le-Ferron,48.2023856771,3.62729053332,331.0
10320,Rilly-Sainte-Syre,48.4502459762,3.96773143034,235.0
10321,La Rivière-de-Corps,48.2801548843,4.0140574686,3687.0
10323,Romilly-sur-Seine,48.5185939749,3.72154151549,14959.0
10324,Roncenay,48.1967315175,4.04486518985,162.0
10325,Rosières-près-Troyes,48.2626897407,4.06345677209,4961.0
